full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,age,BMI
De'Andre Hunter,77,12,Atlanta Hawks,F,12/01/97,2.01,102.1,7068360,USA,2019,1,4,Virginia,NBA2k20,26,25.271651691789813
Al-Farouq Aminu,77,2,Orlando Magic,F,09/21/90,2.03,97.5,9258000,Nigeria,2010,1,8,Wake Forest,NBA2k20,33,23.65988012327405
Mo Bamba,77,5,Orlando Magic,C,05/12/98,2.13,102.1,5697600,USA,2018,1,6,Texas,NBA2k20,25,22.50435319270868
Nicolas Batum,77,5,Charlotte Hornets,F-G,12/14/88,2.06,95.3,25565217,France,2008,1,25,,NBA2k20,35,22.457347535111698
Malik Beasley,77,0,Minnesota Timberwolves,G,11/26/96,1.93,89.8,2731713,USA,2016,1,19,Florida State,NBA2k20,27,24.108029745764988
Nemanja Bjelica,77,88,Sacramento Kings,F-G,05/09/88,2.08,101.6,6825000,Serbia,2010,2,35,,NBA2k20,35,23.483727810650883
DeMarre Carroll,77,0,Houston Rockets,F,07/27/86,1.98,96.2,7339258,USA,2009,1,27,Missouri,NBA2k20,37,24.538312417100297
Ed Davis,77,17,Utah Jazz,F,06/05/89,2.06,97.5,4767000,USA,2010,1,13,North Carolina,NBA2k20,34,22.975775285135263
Taj Gibson,77,67,New York Knicks,F,06/24/85,2.06,102.1,9000000,USA,2009,1,26,USC,NBA2k20,38,24.05976058063908
Jerami Grant,77,9,Denver Nuggets,F,03/12/94,2.03,97.1,9346153,USA,2014,2,39,Syracuse,NBA2k20,30,23.56281394840933
Danny Green,77,14,Los Angeles Lakers,G,06/22/87,1.98,94.8,14634147,USA,2009,2,46,North Carolina,NBA2k20,36,24.181205999387817
Tim Hardaway Jr,77,11,Dallas Mavericks,G,03/16/92,1.96,90.3,20025127,USA,2013,1,24,Michigan,NBA2k20,32,23.505830903790088
Alex Len,77,0,Sacramento Kings,C,06/16/93,2.13,102.1,4160000,Ukraine,2013,1,5,Maryland,NBA2k20,30,22.50435319270868
Kevon Looney,77,5,Golden State Warriors,F,02/06/96,2.06,100.7,4464286,USA,2015,1,30,UCLA,NBA2k20,28,23.72985201244227
